  93).	    0.000  16.000   0.000    16.000 
  94).	    0.000   0.000  15.000     0.000 
  95).	   16.000   0.000  16.000     0.000 
  96).	   15.000   0.000  16.000     0.000 
  97).	    0.000  15.000   0.000    16.000 
  98).	    0.000  16.000   0.000    15.000 
  99).	    0.000  16.000   0.000    16.000 
  100).	    0.000  15.000   0.000    16.000 
  101).	   15.000   0.000  16.000     0.000 
  102).	   16.000   0.000  15.000     0.000 
  103).	   16.000  16.000   0.000    15.000 
  104).	    0.000  16.000   0.000    16.000 
  105).	   15.000   0.000  16.000     0.000 
  106).	   15.000  16.000   0.000    16.000 
  107).	   15.000   0.000  16.000    15.000 
  108).	    0.000  16.000  16.000     0.000 
  109).	   15.000  16.000   0.000    16.000 
  110).	   15.000   0.000  16.000    15.000 
  111).	    0.000  16.000  16.000    15.000 
  112).	    0.000  16.000  16.000     0.000 
  113).	   15.000  16.000  16.000    15.000 
  114).	    0.000  16.000  15.000    16.000 
  115).	    0.000  16.000  15.000    16.000 
  116).	   16.000   0.000  15.000    16.000 
  117).	   15.000  16.000  16.000     0.000 
  118).	   15.000  16.000  16.000    15.000 
  119).	   16.000  15.000   0.000    16.000 
  120).	   16.000  15.000  16.000    15.000 
  121).	   16.000  16.000  15.000    16.000 
  122).	   16.000  15.000  16.000     0.000 
  123).	   16.000  15.000  16.000    15.000 
  124).	   16.000  16.000  15.000    16.000 
  125).	   16.000  15.000  16.000    15.000 
  126).	   16.000  16.000  31.000    16.000 
  127).	   15.000  16.000  15.000    16.000 
  128).	   16.000  15.000  16.000    16.000 
  129).	   15.000  16.000  31.000    16.000 
  130).	   15.000  16.000  16.000    15.000 
  131).	   31.000  16.000  16.000    15.000 
  132).	   16.000  16.000  31.000    15.000 
  133).	   16.000  16.000  15.000    32.000 
  134).	   15.000  16.000  15.000    32.000 
  135).	   15.000  16.000  31.000    16.000 
  136).	   15.000  16.000  31.000    16.000 
  137).	   16.000  31.000  15.000    16.000 
  138).	   31.000  16.000  31.000    16.000 
  139).	   15.000  32.000  15.000    16.000 
